"SID","LocalPath","LocalComputerName","LocalUsername","JumpCloudUserName"
"S-1-5-21-2560269270-1441356848-4259373786-500","C:\Users\Administrator","NL-WIN11PRO-DJ","S-1-5-21-2560269270-1441356848-4259373786-500",""
"S-1-5-21-2560269270-1441356848-4259373786-1103","C:\Users\ad.user","NL-WIN11PRO-DJ","NL\ad.user",""
